model,fold,n_train,n_test,n_pos_test,threshold_opt,f1_optimized,f1_default,roc_auc,pr_auc,ce_at_20
random_forest,5,11204,1245,213,0.39000000000000007,0.8663594470046083,0.837772397094431,0.9872916439203697,0.9384822282600075,0.9342723004694836
random_forest,6,11204,1245,213,0.39000000000000007,0.8832951945080092,0.875,0.9895753721294174,0.9503460451103531,0.9483568075117371
random_forest,7,11204,1245,213,0.44000000000000006,0.8298368298368298,0.8280871670702179,0.9804995996651746,0.9235229649319433,0.9107981220657277
random_forest,8,11204,1245,213,0.4100000000000001,0.8551068883610451,0.8421052631578947,0.9877306474505951,0.9432178474459378,0.9436619718309859
random_forest,9,11204,1245,213,0.4100000000000001,0.8477751756440282,0.8571428571428571,0.9835748990064418,0.9311857294226435,0.9061032863849765
random_forest,10,11205,1244,212,0.44000000000000006,0.831353919239905,0.8217821782178217,0.9816165715957292,0.9247107745039476,0.8915094339622641
xgboost,1,11204,1245,212,0.6200000000000001,0.8476190476190476,0.8452655889145496,0.9854243913130832,0.9327640181849747,0.9198113207547169
xgboost,2,11204,1245,212,0.7200000000000002,0.8771084337349397,0.8858447488584474,0.9912235839924017,0.9596262063750766,0.9481132075471698
xgboost,3,11204,1245,212,0.6500000000000001,0.8699763593380615,0.8693693693693694,0.9887806169975708,0.94965741657636,0.9528301886792453
xgboost,4,11204,1245,213,0.6400000000000001,0.8653846153846154,0.8699763593380615,0.9851239218255268,0.9443414819681593,0.9248826291079812
xgboost,5,11204,1245,213,0.6900000000000002,0.8735083532219571,0.8681818181818182,0.986666120755541,0.9442747055092207,0.9295774647887324
xgboost,6,11204,1245,213,0.7200000000000002,0.8947368421052632,0.8914027149321267,0.990064417512829,0.9537405068709827,0.9530516431924883
xgboost,7,11204,1245,213,0.6700000000000002,0.8416075650118203,0.8421052631578947,0.9834134002984315,0.9344126753063837,0.9107981220657277
xgboost,8,11204,1245,213,0.7200000000000002,0.8536585365853658,0.8657407407407407,0.9860519707391637,0.9393245172760523,0.9154929577464789
xgboost,9,11204,1245,213,0.7100000000000002,0.8380952380952381,0.8609865470852018,0.9835089347454236,0.9324490468069013,0.9154929577464789
xgboost,10,11205,1244,212,0.7100000000000002,0.8369829683698297,0.8443396226415094,0.9811412169080005,0.9282800113132138,0.9009433962264151
lightgbm,1,11204,1245,212,0.7900000000000001,0.8557213930348259,0.8733031674208145,0.9859906117006703,0.9361599410836445,0.9339622641509434
lightgbm,2,11204,1245,212,0.7600000000000002,0.8761904761904762,0.8663793103448276,0.9909907030265392,0.9590861858327707,0.9433962264150944
lightgbm,3,11204,1245,212,0.7400000000000002,0.8732394366197183,0.8658008658008658,0.9898080330234342,0.9546502589582117,0.9433962264150944
lightgbm,4,11204,1245,213,0.7500000000000002,0.8634146341463415,0.8863636363636364,0.985110274047385,0.9444748240585457,0.9295774647887324
lightgbm,5,11204,1245,213,0.7500000000000002,0.851063829787234,0.8590021691973969,0.986133857408014,0.940866103183007,0.9295774647887324
lightgbm,6,11204,1245,213,0.7700000000000002,0.8920863309352518,0.8695652173913043,0.9886177530298067,0.9527587176411927,0.9389671361502347
lightgbm,7,11204,1245,213,0.7400000000000002,0.8333333333333334,0.8225108225108225,0.981052334679914,0.9242589479359422,0.892018779342723
lightgbm,8,11204,1245,213,0.7400000000000002,0.8647342995169082,0.8482142857142857,0.9864204607489901,0.9392087550884799,0.9295774647887324
lightgbm,9,11204,1245,213,0.7500000000000002,0.8290398126463701,0.8304347826086956,0.9827583069476289,0.9315795576685882,0.9061032863849765
lightgbm,10,11205,1244,212,0.7800000000000001,0.8292682926829268,0.8201754385964912,0.9795597484276729,0.9183907798477601,0.8867924528301887
