variant,model,fold,n_train,n_test,n_pos_test,precision,recall,f1,roc_auc,pr_auc,mcc,ce_at_20,method,brier,nll,ece
consequence,random_forest,9,21520,2391,353,0.823170731707317,0.38243626062322944,0.5222437137330754,0.913645689408324,0.7035859137698688,0.5167720384965481,0.7252124645892352,isotonic,0.07924923952209845,0.2663105914090383,0.058305280404665316
consequence,random_forest,10,21520,2391,353,0.8472222222222222,0.34560906515580736,0.4909456740442656,0.9007622870836542,0.6735440848477698,0.4992412798233875,0.7053824362606232,isotonic,0.0823764323594422,0.2768050398442351,0.05662418513933953
consequence,xgboost,1,21519,2392,354,0.7488584474885844,0.4632768361581921,0.5724258289703316,0.9158544158169911,0.6998777172446289,0.5371884355593353,0.7344632768361582,uncalibrated,,,
consequence,xgboost,2,21520,2391,354,0.7336065573770492,0.5056497175141242,0.5986622073578596,0.9129889418636579,0.7208262351059245,0.5558099387855057,0.7542372881355932,uncalibrated,,,
consequence,xgboost,3,21520,2391,354,0.7293577981651376,0.4491525423728814,0.5559440559440559,0.9139714712840696,0.6942952358845502,0.5184215820599065,0.7457627118644068,uncalibrated,,,
consequence,xgboost,4,21520,2391,353,0.6991150442477876,0.4475920679886686,0.5457685664939551,0.9123175250968149,0.6814662308010291,0.5022774163468832,0.7393767705382436,uncalibrated,,,
consequence,xgboost,5,21520,2391,353,0.7475728155339806,0.43626062322946174,0.5509838998211091,0.9131925428195726,0.6804946414095991,0.5192814789618947,0.7478753541076487,uncalibrated,,,
consequence,xgboost,6,21520,2391,353,0.7333333333333333,0.46742209631728043,0.5709342560553633,0.9151969519636816,0.7071291381464625,0.5321385139532272,0.7422096317280453,uncalibrated,,,
consequence,xgboost,7,21520,2391,353,0.7096774193548387,0.4985835694050991,0.5856905158069884,0.914457461211486,0.6968992105851198,0.5389797632271035,0.7393767705382436,uncalibrated,,,
consequence,xgboost,8,21520,2391,353,0.7523364485981309,0.45609065155807366,0.5679012345679012,0.8985118443622171,0.6618120253686953,0.5344503901660327,0.6997167138810199,uncalibrated,,,
consequence,xgboost,9,21520,2391,353,0.7934272300469484,0.47875354107648727,0.5971731448763251,0.9109851907246733,0.7150504692978739,0.5693017081317897,0.7195467422096318,uncalibrated,,,
consequence,xgboost,10,21520,2391,353,0.7757009345794392,0.4702549575070821,0.5855379188712522,0.9032052476043001,0.6941486536115437,0.5551005794444147,0.7337110481586402,uncalibrated,,,
consequence,xgboost,1,21519,2392,354,0.7848101265822784,0.3502824858757062,0.484375,0.9090972095163642,0.676175796349604,0.47693471648847036,0.7457627118644068,platt,0.08322794569645184,0.2937717280969652,0.08207918223738937
consequence,xgboost,2,21520,2391,354,0.7777777777777778,0.3954802259887006,0.5243445692883895,0.8999643599066978,0.690952482209901,0.5059103584120008,0.7203389830508474,platt,0.08345902318677603,0.29619834516592647,0.08543624807166565
consequence,xgboost,3,21520,2391,354,0.7806451612903226,0.3418079096045198,0.47544204322200395,0.9118982440666872,0.6815930688964258,0.46895877967721505,0.731638418079096,platt,0.08252542129163644,0.2910095993706243,0.07706297802871416
consequence,xgboost,4,21520,2391,353,0.8108108108108109,0.33994334277620397,0.47904191616766467,0.9011514927427045,0.6585962396898485,0.4802128090752236,0.7252124645892352,platt,0.08613383171095623,0.3010426500251837,0.07859756281561553
consequence,xgboost,5,21520,2391,353,0.76,0.26912181303116145,0.39748953974895396,0.8956796781825207,0.6296119524162372,0.4054377183991537,0.7082152974504249,platt,0.08840121548598531,0.3066929766272985,0.08200974341546234
consequence,xgboost,6,21520,2391,353,0.8670886075949367,0.3881019830028329,0.5362035225048923,0.9108927543806487,0.7181794156502215,0.5394807092431784,0.7478753541076487,platt,0.0809897622709751,0.2901738089931153,0.08678240222301169
consequence,xgboost,7,21520,2391,353,0.7870967741935484,0.34560906515580736,0.48031496062992124,0.9074329940757337,0.6734965624917251,0.47460611778412587,0.7450424929178471,platt,0.083609892294554,0.29529290841668066,0.08652622403067843
consequence,xgboost,8,21520,2391,353,0.821656050955414,0.3654390934844193,0.5058823529411764,0.8801204869518803,0.6345723134124462,0.503698393102734,0.6912181303116147,platt,0.08776047474061904,0.3077053846551312,0.07459851160749621
consequence,xgboost,9,21520,2391,353,0.8273381294964028,0.32577903682719545,0.46747967479674796,0.9009131042765363,0.6822063766145674,0.4760267410695185,0.7053824362606232,platt,0.08404971782359524,0.2968747579554132,0.08521077524498288
consequence,xgboost,10,21520,2391,353,0.8796992481203008,0.3314447592067989,0.48148148148148145,0.8881054580533602,0.6611817472228428,0.5008434668740339,0.6770538243626062,platt,0.08665404407988063,0.30455030142733175,0.07660142377770937
consequence,xgboost,1,21519,2392,354,0.8028169014084507,0.3220338983050847,0.4596774193548387,0.9077395308350382,0.677853686175355,0.46327054065065415,0.751412429378531,isotonic,0.08475291945381246,0.29218133353810544,0.08091739738460497
consequence,xgboost,2,21520,2391,354,0.7974683544303798,0.3559322033898305,0.4921875,0.9020632424441615,0.6962043562971236,0.4863934179079602,0.731638418079096,isotonic,0.08530154908499814,0.29625435680750134,0.09194124848567731
consequence,xgboost,3,21520,2391,354,0.7785714285714286,0.307909604519774,0.44129554655870445,0.9122393904850659,0.6826257526715797,0.4427463252369802,0.7429378531073446,isotonic,0.08468364381373047,0.2925771697850398,0.08727521000774022
consequence,xgboost,4,21520,2391,353,0.8473282442748091,0.31444759206798867,0.45867768595041325,0.9020737711526325,0.6602627102780246,0.47487359163702686,0.7280453257790368,isotonic,0.08760013016441581,0.2986260309716025,0.07782942309708456
consequence,xgboost,5,21520,2391,353,0.7850467289719626,0.23796033994334279,0.3652173913043478,0.900968705084972,0.6339341611455834,0.3889131964319963,0.7082152974504249,isotonic,0.08809153716796786,0.298959193037078,0.07845593646573021
consequence,xgboost,6,21520,2391,353,0.8695652173913043,0.33994334277620397,0.48879837067209775,0.9119728000845132,0.7196498920069991,0.5036665567302357,0.7507082152974505,isotonic,0.08334635042554679,0.2901674427594932,0.09291217438776331
consequence,xgboost,7,21520,2391,353,0.816793893129771,0.3031161473087819,0.44214876033057854,0.9075115302176494,0.6778413494928685,0.4541502275325154,0.7337110481586402,isotonic,0.08600270850197525,0.29565490503655834,0.08835795310669471
consequence,xgboost,8,21520,2391,353,0.8345323741007195,0.3286118980169972,0.4715447154471545,0.8811226915239349,0.6324979967904236,0.4810652094840118,0.6940509915014165,isotonic,0.08916413322454658,0.3054908954782764,0.07709873103588666
consequence,xgboost,9,21520,2391,353,0.8405797101449275,0.3286118980169972,0.4725050916496945,0.9003716914043931,0.6788477036294938,0.4834442829480137,0.6997167138810199,isotonic,0.08545619495511125,0.2933768180018813,0.08337166959943058
