variant,model,fold,n_train,n_test,n_pos_test,precision,recall,f1,roc_auc,pr_auc,mcc,ce_at_20
consequence,random_forest,10,21520,2391,353,0.8201058201058201,0.43909348441926344,0.5719557195571956,0.9085901859013029,0.69673128154192,0.5553727272151943,0.7223796033994334
consequence,xgboost,1,21519,2392,354,0.7488584474885844,0.4632768361581921,0.5724258289703316,0.9158544158169911,0.6998777172446289,0.5371884355593353,0.7344632768361582
consequence,xgboost,2,21520,2391,354,0.7336065573770492,0.5056497175141242,0.5986622073578596,0.9129889418636579,0.7208262351059245,0.5558099387855057,0.7542372881355932
consequence,xgboost,3,21520,2391,354,0.7293577981651376,0.4491525423728814,0.5559440559440559,0.9139714712840696,0.6942952358845502,0.5184215820599065,0.7457627118644068
consequence,xgboost,4,21520,2391,353,0.6991150442477876,0.4475920679886686,0.5457685664939551,0.9123175250968149,0.6814662308010291,0.5022774163468832,0.7393767705382436
consequence,xgboost,5,21520,2391,353,0.7475728155339806,0.43626062322946174,0.5509838998211091,0.9131925428195726,0.6804946414095991,0.5192814789618947,0.7478753541076487
consequence,xgboost,6,21520,2391,353,0.7333333333333333,0.46742209631728043,0.5709342560553633,0.9151969519636816,0.7071291381464625,0.5321385139532272,0.7422096317280453
consequence,xgboost,7,21520,2391,353,0.7096774193548387,0.4985835694050991,0.5856905158069884,0.914457461211486,0.6968992105851198,0.5389797632271035,0.7393767705382436
consequence,xgboost,8,21520,2391,353,0.7523364485981309,0.45609065155807366,0.5679012345679012,0.8985118443622171,0.6618120253686953,0.5344503901660327,0.6997167138810199
consequence,xgboost,9,21520,2391,353,0.7934272300469484,0.47875354107648727,0.5971731448763251,0.9109851907246733,0.7150504692978739,0.5693017081317897,0.7195467422096318
consequence,xgboost,10,21520,2391,353,0.7757009345794392,0.4702549575070821,0.5855379188712522,0.9032052476043001,0.6941486536115437,0.5551005794444147,0.7337110481586402
consequence,lightgbm,1,21519,2392,354,0.5269230769230769,0.7740112994350282,0.6270022883295194,0.9150435510609161,0.6980384502992334,0.5624253996880961,0.7401129943502824
consequence,lightgbm,2,21520,2391,354,0.4927536231884058,0.768361581920904,0.6004415011037527,0.9082628158724612,0.6950598436279,0.5317412996926497,0.7344632768361582
consequence,lightgbm,3,21520,2391,354,0.5155642023346303,0.748587570621469,0.6105990783410138,0.9094949646233939,0.6790265966824539,0.5415017036450649,0.7288135593220338
consequence,lightgbm,4,21520,2391,353,0.49444444444444446,0.7563739376770539,0.5979843225083986,0.9110414865432144,0.6715278179785473,0.5280465998854823,0.7082152974504249
consequence,lightgbm,5,21520,2391,353,0.5231388329979879,0.7365439093484419,0.611764705882353,0.9057948552571953,0.6584053657376744,0.5422386052086644,0.7195467422096318
consequence,lightgbm,6,21520,2391,353,0.533066132264529,0.7535410764872521,0.6244131455399061,0.9131703024961983,0.7134016402254643,0.5579874218731268,0.7450424929178471
consequence,lightgbm,7,21520,2391,353,0.492619926199262,0.7563739376770539,0.5966480446927375,0.9123001498441787,0.6930760370616471,0.5265249531681063,0.7337110481586402
consequence,lightgbm,8,21520,2391,353,0.48120300751879697,0.7252124645892352,0.5785310734463277,0.899828888512039,0.657728131610231,0.5030232724285522,0.6855524079320113
consequence,lightgbm,9,21520,2391,353,0.5155038759689923,0.7535410764872521,0.6121979286536249,0.9108969244412815,0.7104041755218096,0.544007723545886,0.7365439093484419
consequence,lightgbm,10,21520,2391,353,0.5111111111111111,0.71671388101983,0.5966981132075472,0.9008936439935836,0.6807444321330709,0.5235366421182195,0.7082152974504249
consequence,svm,1,21519,2392,354,0.6,0.288135593220339,0.3893129770992366,0.8475491092962526,0.5039825085246242,0.352090858613459,0.6073446327683616
consequence,svm,2,21520,2391,354,0.5851063829787234,0.3107344632768362,0.4059040590405904,0.8410382500020801,0.49263587237814555,0.35948965708655534,0.6186440677966102
consequence,svm,3,21520,2391,354,0.6470588235294118,0.3107344632768362,0.4198473282442748,0.8411464183786392,0.5210698426069645,0.3887194800813956,0.576271186440678
consequence,svm,4,21520,2391,353,0.5808383233532934,0.2747875354107649,0.3730769230769231,0.8247768322551411,0.4825763043353251,0.33463455147909466,0.5722379603399433
consequence,svm,5,21520,2391,353,0.6217948717948718,0.2747875354107649,0.381139489194499,0.8384177955947479,0.49663096140005303,0.3531316630015101,0.5977337110481586
consequence,svm,6,21520,2391,353,0.6514285714285715,0.32294617563739375,0.4318181818181818,0.8545218747480589,0.5378434370481572,0.3990940025615107,0.6373937677053825
consequence,svm,7,21520,2391,353,0.6578947368421053,0.35410764872521244,0.4604051565377532,0.8576716605459442,0.5381116348967931,0.4226165838141844,0.6458923512747875
consequence,svm,8,21520,2391,353,0.6534090909090909,0.32577903682719545,0.43478260869565216,0.8276486140108477,0.5118163350977206,0.4018967433879009,0.5864022662889519
consequence,svm,9,21520,2391,353,0.6569767441860465,0.32011331444759206,0.43047619047619046,0.8412777621786621,0.5161287144790951,0.39974523503813536,0.5920679886685553
consequence,svm,10,21520,2391,353,0.6707317073170732,0.311614730878187,0.425531914893617,0.8333935675424722,0.5342689948894566,0.40015873198738716,0.5892351274787535
severity,logistic_regression,1,21519,2392,231,0.5228426395939086,0.8917748917748918,0.6592,0.9654380788115171,0.7788002718815435,0.640860769491873,0.9307359307359307
severity,logistic_regression,2,21520,2391,230,0.5210526315789473,0.8608695652173913,0.6491803278688525,0.9595879524374786,0.7232666927665959,0.6263519318006874,0.9260869565217391
severity,logistic_regression,3,21520,2391,230,0.5417789757412399,0.8739130434782608,0.6688851913477537,0.9583787698931655,0.7417655458063355,0.6476345718401944,0.908695652173913
severity,logistic_regression,4,21520,2391,230,0.5052356020942408,0.8391304347826087,0.630718954248366,0.9584169969619539,0.7661770511148732,0.6049192480588794,0.9173913043478261
severity,logistic_regression,5,21520,2391,230,0.4824120603015075,0.8347826086956521,0.6114649681528662,0.9544534535138725,0.7445712166433308,0.585340630533806,0.8782608695652174
severity,logistic_regression,6,21520,2391,230,0.536,0.8739130434782608,0.6644628099173554,0.9682494014445807,0.7619838665988772,0.6433091583857575,0.9521739130434783
severity,logistic_regression,7,21520,2391,231,0.5427807486631016,0.8787878787878788,0.6710743801652893,0.9662578162578164,0.7714878141457021,0.6503219634279135,0.9437229437229437
severity,logistic_regression,8,21520,2391,231,0.538659793814433,0.9047619047619048,0.6752827140549273,0.9686167227833896,0.7768662549008138,0.6585534590857708,0.948051948051948
severity,logistic_regression,9,21520,2391,231,0.5172413793103449,0.8441558441558441,0.6414473684210527,0.9538560205226871,0.7533823387300198,0.6160088478073097,0.9090909090909091
severity,logistic_regression,10,21520,2391,231,0.4963680387409201,0.8874458874458875,0.6366459627329193,0.9644881353214687,0.7571281673915302,0.6183057767102773,0.9264069264069265
severity,decision_tree,1,21519,2392,231,0.6545454545454545,0.6233766233766234,0.6385809312638581,0.7941038600455538,0.44439957275925657,0.6012053584645114,0.683982683982684
severity,decision_tree,2,21520,2391,230,0.6186046511627907,0.5782608695652174,0.597752808988764,0.7701577369575276,0.3982836631638953,0.5569164310172113,0.6130434782608696
severity,decision_tree,3,21520,2391,230,0.6933962264150944,0.6391304347826087,0.665158371040724,0.8045258837494719,0.47788414065735296,0.6317554013838975,0.7043478260869566
severity,decision_tree,4,21520,2391,230,0.6842105263157895,0.6782608695652174,0.6812227074235808,0.8224714805947327,0.49502262010380266,0.6474659374158115,0.7086956521739131
severity,decision_tree,5,21520,2391,230,0.594017094017094,0.6043478260869565,0.5991379310344828,0.7801933484900306,0.3970523288045518,0.5560913212332721,0.6347826086956522
severity,decision_tree,6,21520,2391,230,0.6502242152466368,0.6304347826086957,0.6401766004415012,0.797170190934149,0.4454739408741708,0.602621288847457,0.6652173913043479
severity,decision_tree,7,21520,2391,231,0.6682926829268293,0.5930735930735931,0.6284403669724771,0.7807960557960558,0.435660837209327,0.5925866386951399,0.645021645021645
severity,decision_tree,8,21520,2391,231,0.7096774193548387,0.6666666666666666,0.6875,0.8187499999999999,0.5053223782733639,0.6556218483337652,0.7142857142857143
severity,decision_tree,9,21520,2391,231,0.6807511737089202,0.6277056277056277,0.6531531531531531,0.7981120731120731,0.46327955694064515,0.618334795852617,0.6796536796536796
severity,decision_tree,10,21520,2391,231,0.6083333333333333,0.6320346320346321,0.6199575371549894,0.7942580567580568,0.4200377135759821,0.5785826386353693,0.6926406926406926
severity,random_forest,1,21519,2392,231,0.8152866242038217,0.5541125541125541,0.6597938144329897,0.9750916983679594,0.8218881688128836,0.6449044932836614,0.9653679653679653
severity,random_forest,2,21520,2391,230,0.8227848101265823,0.5652173913043478,0.6701030927835051,0.9742892783131802,0.8007156578520949,0.65548434030872,0.9695652173913043
severity,random_forest,3,21520,2391,230,0.7885714285714286,0.6,0.6814814814814815,0.9731052451562279,0.7997316438697383,0.6598804838334933,0.9652173913043478
severity,random_forest,4,21520,2391,230,0.7965116279069767,0.5956521739130435,0.681592039800995,0.9742510512443917,0.8067734201975528,0.6612548453931382,0.9695652173913043
severity,random_forest,5,21520,2391,230,0.7647058823529411,0.5652173913043478,0.65,0.9629982093636199,0.7554306633481078,0.627259933063601,0.9173913043478261
severity,random_forest,6,21520,2391,230,0.8136645962732919,0.5695652173913044,0.670076726342711,0.9789067058326459,0.8133716163702934,0.6538119460817546,0.991304347826087
severity,random_forest,7,21520,2391,231,0.8431372549019608,0.5584415584415584,0.671875,0.9755060525893859,0.813967306235629,0.6607036668417222,0.9783549783549783
severity,random_forest,8,21520,2391,231,0.7955801104972375,0.6233766233766234,0.6990291262135923,0.9790083373416707,0.831240992892579,0.6770909971291257,0.974025974025974
