variant,model,held_out_project,n_train,n_test,n_pos_test,precision,recall,f1,roc_auc,pr_auc,mcc,ce_at_20
consequence,decision_tree,org.apache:commons-jelly,23492,419,61,0.25203252032520324,0.5081967213114754,0.33695652173913043,0.6256067405440058,0.1996811458391981,0.19455883683948216,0.2459016393442623
consequence,decision_tree,org.apache:commons-jexl,23753,158,32,0.4594594594594595,0.53125,0.4927536231884058,0.6862599206349206,0.33902454669859733,0.3535217380809858,0.5
consequence,decision_tree,org.apache:configuration,23503,408,81,0.35443037974683544,0.345679012345679,0.35,0.5948578547966927,0.25242110440050375,0.19151737728537466,0.345679012345679
consequence,decision_tree,org.apache:daemon,23899,12,3,0.0,0.0,0.0,0.4444444444444444,0.25,-0.17407765595569785,0.0
consequence,decision_tree,org.apache:dbcp,23798,113,23,0.4,0.43478260869565216,0.4166666666666667,0.6340579710144927,0.2889572912658715,0.26007372016593416,0.391304347826087
consequence,decision_tree,org.apache:digester,23578,333,67,0.375,0.1791044776119403,0.24242424242424243,0.5519582538435642,0.23232934426964277,0.14135283581872413,0.26865671641791045
consequence,decision_tree,org.apache:felix,20174,3737,378,0.20081135902636918,0.2619047619047619,0.22732491389207807,0.5724599157912644,0.12768248068618598,0.12884844481614174,0.3783068783068783
consequence,decision_tree,org.apache:hive,18604,5307,1040,0.3217821782178218,0.25,0.2813852813852814,0.5608155612842747,0.22752092172574206,0.13432281383875383,0.2778846153846154
consequence,decision_tree,org.apache:httpclient,23214,697,140,0.27586206896551724,0.22857142857142856,0.25,0.5390869453706079,0.21855226926401528,0.08364702827144195,0.2571428571428571
consequence,decision_tree,org.apache:httpcore,23129,782,111,0.23300970873786409,0.21621621621621623,0.22429906542056074,0.5492407459620574,0.1616336744958899,0.10163045483321337,0.2972972972972973
consequence,decision_tree,org.apache:net,23661,250,50,0.3137254901960784,0.32,0.31683168316831684,0.5725,0.23639215686274506,0.14393167383066768,0.3
consequence,decision_tree,org.apache:thrift,23732,179,11,0.13043478260869565,0.2727272727272727,0.17647058823529413,0.5768398268398268,0.08026585995981186,0.11029127045273067,0.2727272727272727
consequence,decision_tree,org.apache:vfs,23506,405,79,0.28205128205128205,0.27848101265822783,0.2802547770700637,0.5533509357769666,0.21928666738793323,0.1072193586348982,0.27848101265822783
consequence,decision_tree,org.apache:zookeeper,23166,745,98,0.27956989247311825,0.2653061224489796,0.27225130890052357,0.5808756269122796,0.17081589942753458,0.16540459180381376,0.30612244897959184
consequence,random_forest,org.apache:archiva,22326,1585,309,0.7741935483870968,0.07766990291262135,0.1411764705882353,0.9064557527061712,0.6352938700973303,0.2065091143954965,0.6343042071197411
consequence,random_forest,org.apache:batik,22199,1712,341,0.6043956043956044,0.16129032258064516,0.25462962962962965,0.6948948794787717,0.39197103593001104,0.2403924310479009,0.33724340175953077
consequence,random_forest,org.apache:bcel,23440,471,93,0.0,0.0,0.0,0.8321812596006144,0.4523436031850998,0.0,0.4731182795698925
consequence,random_forest,org.apache:cayenne,20341,3570,330,0.7142857142857143,0.030303030303030304,0.05813953488372093,0.6945159932659933,0.2635466433893919,0.13471211078823642,0.4666666666666667
consequence,random_forest,org.apache:cocoon,21209,2702,221,0.896551724137931,0.11764705882352941,0.208,0.7889279793398152,0.407050264820321,0.3096743888183374,0.6063348416289592
consequence,random_forest,org.apache:codec,23794,117,24,1.0,0.25,0.4,0.8924731182795699,0.8199285442290394,0.4576674114020568,0.7083333333333334
consequence,random_forest,org.apache:commons-cli,23752,159,32,0.0,0.0,0.0,0.7821112204724409,0.5326935109727193,0.0,0.53125
consequence,random_forest,org.apache:commons-fileupload,23861,50,9,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.7222222222222222,0.4960214828635881,0.32003694841370844,0.3333333333333333
consequence,random_forest,org.apache:commons-jelly,23492,419,61,0.6,0.04918032786885246,0.09090909090909091,0.742078029123546,0.3433336376726911,0.1415941611165459,0.4426229508196721
consequence,random_forest,org.apache:commons-jexl,23753,158,32,0.75,0.1875,0.3,0.7823660714285715,0.5430316396710474,0.3145974584235557,0.5
consequence,random_forest,org.apache:configuration,23503,408,81,0.7647058823529411,0.16049382716049382,0.2653061224489796,0.7844603012798731,0.5347922125260894,0.2959590850994255,0.48148148148148145
consequence,random_forest,org.apache:daemon,23899,12,3,0.0,0.0,0.0,0.6296296296296297,0.3888888888888889,0.0,0.3333333333333333
consequence,random_forest,org.apache:dbcp,23798,113,23,0.75,0.391304347826087,0.5142857142857142,0.8314009661835748,0.6028171668114308,0.4678231677529569,0.4782608695652174
consequence,random_forest,org.apache:digester,23578,333,67,0.9166666666666666,0.16417910447761194,0.27848101265822783,0.8105150937044103,0.6223610307969856,0.345058552754243,0.5970149253731343
consequence,random_forest,org.apache:felix,20174,3737,378,0.5238095238095238,0.1164021164021164,0.19047619047619047,0.7574422974839765,0.3223670318682704,0.2125577717405297,0.5396825396825397
consequence,random_forest,org.apache:hive,18604,5307,1040,0.0,0.0,0.0,0.8460946936236954,0.5680419178308336,0.0,0.5711538461538461
consequence,random_forest,org.apache:httpclient,23214,697,140,0.5294117647058824,0.06428571428571428,0.11464968152866242,0.763394460117979,0.42299643023229827,0.1296623448528392,0.42142857142857143
consequence,random_forest,org.apache:httpcore,23129,782,111,0.5714285714285714,0.10810810810810811,0.18181818181818182,0.7877848041782468,0.37393975092496146,0.20443213235070704,0.44144144144144143
consequence,random_forest,org.apache:net,23661,250,50,0.6111111111111112,0.22,0.3235294117647059,0.7829,0.47967845669772813,0.286280313022955,0.42
consequence,random_forest,org.apache:thrift,23732,179,11,0.0,0.0,0.0,0.7954545454545454,0.3844140698442271,0.0,0.5454545454545454
consequence,random_forest,org.apache:vfs,23506,405,79,0.8181818181818182,0.11392405063291139,0.2,0.8270948202221013,0.5706947214326509,0.2627560125472868,0.5316455696202531
consequence,random_forest,org.apache:zookeeper,23166,745,98,0.7777777777777778,0.21428571428571427,0.336,0.8812415228842696,0.5416599617617571,0.3707666486282271,0.6530612244897959
consequence,xgboost,org.apache:archiva,22326,1585,309,0.8243243243243243,0.19741100323624594,0.3185378590078329,0.9125896561869111,0.6840518225769772,0.35157297884121186,0.6407766990291263
consequence,xgboost,org.apache:batik,22199,1712,341,0.49264705882352944,0.19648093841642228,0.2809224318658281,0.7249936365133655,0.4127334727321267,0.21585157961912838,0.36363636363636365
consequence,xgboost,org.apache:bcel,23440,471,93,0.09090909090909091,0.010752688172043012,0.019230769230769232,0.7508249416851568,0.3285315065557167,-0.04138819104700819,0.34408602150537637
consequence,xgboost,org.apache:cayenne,20341,3570,330,0.4380952380952381,0.1393939393939394,0.21149425287356322,0.7448648522259633,0.272104581516484,0.20774410774410773,0.47878787878787876
consequence,xgboost,org.apache:cocoon,21209,2702,221,0.5824175824175825,0.2398190045248869,0.33974358974358976,0.8233807707810127,0.4231768470013931,0.3410411323487428,0.6515837104072398
consequence,xgboost,org.apache:codec,23794,117,24,0.8125,0.5416666666666666,0.65,0.888888888888889,0.7879019022464236,0.598677162132179,0.7083333333333334
consequence,xgboost,org.apache:commons-cli,23752,159,32,0.8,0.25,0.38095238095238093,0.7539370078740157,0.5839922956032818,0.38687170238275226,0.46875
consequence,xgboost,org.apache:commons-fileupload,23861,50,9,0.5,0.2222222222222222,0.3076923076923077,0.6449864498644986,0.4168776533450446,0.24561669283120213,0.3333333333333333
consequence,xgboost,org.apache:commons-jelly,23492,419,61,0.4807692307692308,0.4098360655737705,0.4424778761061947,0.791510211557835,0.4811024913271536,0.3577339565460826,0.6065573770491803
consequence,xgboost,org.apache:commons-jexl,23753,158,32,0.38235294117647056,0.40625,0.3939393939393939,0.7473958333333334,0.49379157439454413,0.23429691140622652,0.40625
consequence,xgboost,org.apache:configuration,23503,408,81,0.5689655172413793,0.4074074074074074,0.4748201438848921,0.7915392456676861,0.5257338848069055,0.37803939685060933,0.49382716049382713
consequence,xgboost,org.apache:daemon,23899,12,3,0.0,0.0,0.0,0.6666666666666666,0.40277777777777773,-0.17407765595569785,0.3333333333333333
consequence,xgboost,org.apache:dbcp,23798,113,23,0.38235294117647056,0.5652173913043478,0.45614035087719296,0.7830917874396135,0.48623125001188316,0.2913523733304813,0.4782608695652174
consequence,xgboost,org.apache:digester,23578,333,67,0.8888888888888888,0.23880597014925373,0.3764705882352941,0.7898103467624285,0.5810879813953506,0.4100513427121083,0.4626865671641791
consequence,xgboost,org.apache:felix,20174,3737,378,0.5,0.2222222222222222,0.3076923076923077,0.7532763593347099,0.3374337701130592,0.28698714604037484,0.5052910052910053
consequence,xgboost,org.apache:hive,18604,5307,1040,0.8344370860927153,0.12115384615384615,0.21158690176322417,0.7995179913828847,0.5114923922396438,0.27526010350775604,0.4778846153846154
consequence,xgboost,org.apache:httpclient,23214,697,140,0.5714285714285714,0.17142857142857143,0.26373626373626374,0.7266735060271865,0.42486245614297063,0.23421395399807377,0.36428571428571427
consequence,xgboost,org.apache:httpcore,23129,782,111,0.4246575342465753,0.27927927927927926,0.33695652173913043,0.7484056336515352,0.3826340848293186,0.2599377314829109,0.4144144144144144
consequence,xgboost,org.apache:net,23661,250,50,0.6428571428571429,0.36,0.46153846153846156,0.81785,0.5976516004035013,0.3931933743096768,0.56
consequence,xgboost,org.apache:thrift,23732,179,11,0.4444444444444444,0.36363636363636365,0.4,0.8479437229437229,0.28968837197496367,0.36693443086284677,0.5454545454545454
consequence,xgboost,org.apache:vfs,23506,405,79,0.5,0.24050632911392406,0.3247863247863248,0.8441795449250602,0.5349355910032922,0.24763006867574192,0.5569620253164557
consequence,xgboost,org.apache:zookeeper,23166,745,98,0.6190476190476191,0.2653061224489796,0.37142857142857144,0.8606598744598303,0.49349024102334477,0.35254637718256243,0.6326530612244898
consequence,lightgbm,org.apache:archiva,22326,1585,309,0.6017964071856288,0.6504854368932039,0.6251944012441679,0.9100432683040651,0.6660857252322696,0.530636220560438,0.6310679611650486
consequence,lightgbm,org.apache:batik,22199,1712,341,0.33189655172413796,0.45161290322580644,0.3826086956521739,0.6903655742859526,0.3986395507725763,0.20261765762694978,0.36363636363636365
consequence,lightgbm,org.apache:bcel,23440,471,93,0.0,0.0,0.0,0.7087813620071685,0.31287924683296825,-0.032390984691132454,0.3655913978494624
consequence,lightgbm,org.apache:cayenne,20341,3570,330,0.296875,0.34545454545454546,0.31932773109243695,0.7315960531238308,0.28563558222676383,0.24504347616932884,0.49393939393939396
consequence,lightgbm,org.apache:cocoon,21209,2702,221,0.39215686274509803,0.45248868778280543,0.42016806722689076,0.8021825603090275,0.41750636391552837,0.36559690155462476,0.5882352941176471
consequence,lightgbm,org.apache:codec,23794,117,24,0.5277777777777778,0.7916666666666666,0.6333333333333333,0.8830645161290323,0.7394189817681673,0.5326949771396879,0.625
consequence,lightgbm,org.apache:commons-cli,23752,159,32,0.6296296296296297,0.53125,0.576271186440678,0.7327755905511811,0.5689054871263715,0.4832101318637998,0.59375
consequence,lightgbm,org.apache:commons-fileupload,23861,50,9,0.25,0.4444444444444444,0.32,0.7073170731707317,0.4902367173468606,0.12499003626796872,0.3333333333333333
consequence,lightgbm,org.apache:commons-jelly,23492,419,61,0.28289473684210525,0.7049180327868853,0.40375586854460094,0.7705375950178587,0.4508497930258382,0.2937487034098084,0.4918032786885246
consequence,lightgbm,org.apache:commons-jexl,23753,158,32,0.34545454545454546,0.59375,0.4367816091954023,0.7420634920634921,0.4787043647224301,0.2598731298658571,0.375
consequence,lightgbm,org.apache:configuration,23503,408,81,0.6181818181818182,0.41975308641975306,0.5,0.8066787480650884,0.5742184322807807,0.415267063858018,0.5802469135802469
consequence,lightgbm,org.apache:daemon,23899,12,3,0.0,0.0,0.0,0.5555555555555556,0.33134920634920634,0.0,0.3333333333333333
consequence,lightgbm,org.apache:dbcp,23798,113,23,0.3090909090909091,0.7391304347826086,0.4358974358974359,0.7782608695652175,0.46970742770676,0.25528384070043064,0.4782608695652174
consequence,lightgbm,org.apache:digester,23578,333,67,0.43661971830985913,0.4626865671641791,0.4492753623188406,0.6950117831893167,0.484211002219048,0.3056927665154713,0.43283582089552236
consequence,lightgbm,org.apache:felix,20174,3737,378,0.32421052631578945,0.4074074074074074,0.36107854630715125,0.7484248272429278,0.33305628214971833,0.2822919336699441,0.5185185185185185
consequence,lightgbm,org.apache:hive,18604,5307,1040,0.5291666666666667,0.24423076923076922,0.33421052631578946,0.7750535189558507,0.4625826584844698,0.26470177595972555,0.42980769230769234
