variant,model,method,precision_mean,recall_mean,f1_mean,roc_auc_mean,pr_auc_mean,mcc_mean,ce_at_20_mean,brier_mean,nll_mean,ece_mean,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std,mcc_std,ce_at_20_std,brier_std,nll_std,ece_std
consequence,xgboost,platt,0.8096922686821791,0.3453009714953346,0.4832055060781231,0.9005255782153133,0.6706565954953819,0.48321098101256543,0.7197740112994351,0.08468113285814298,0.29833124607336703,0.08149050514527256,0.03959846325336937,0.0352729183737239,0.03756517650130291,0.010290059497225137,0.02621245549742244,0.03470194645164588,0.024164777655662047,0.0024209486035535518,0.006330376387459963,0.004506327508985999
consequence,xgboost,uncalibrated,0.742298602872523,0.46730366031273507,0.5731021628765142,0.9110681592747465,0.6951999557455426,0.5362949806636094,0.7356276307997631,,,,0.028193405447348635,0.02214172469271867,0.018585517937642914,0.005667925380352035,0.017446306562892002,0.02005194793166721,0.015718703350939618,,,
severity,lightgbm,isotonic,0.8429841792865282,0.5717899491812535,0.6809708834638684,0.9763502050948064,0.8245204293098374,0.6688608235112893,0.9670186335403728,0.037152335812317645,0.12049154139336533,0.023396142724729636,0.03257336435227668,0.027391350900299486,0.024574988249186375,0.00358905794389461,0.02007957754773812,0.025879451699491005,0.014396593156643924,0.0017423310308421459,0.004931369346824645,0.0026473603578297624
severity,lightgbm,platt,0.7966807815978073,0.6412121212121212,0.710229927172363,0.9757762008930448,0.8216591993033109,0.6879724798832888,0.9600790513833992,0.037755994620066194,0.13360747685127855,0.026303351388650455,0.028750308528746375,0.02158731413221917,0.019373596681641122,0.003732614120202559,0.022243034190554796,0.021367822474963372,0.016764973689204203,0.0021358534700894037,0.00689906273275177,0.004166201739414338
severity,lightgbm,uncalibrated,0.6198217057381612,0.8485827216261999,0.7162056266550493,0.9755555391965585,0.8196399113904855,0.6914243183009509,0.9626858648597778,,,,0.022221614681559095,0.0232383088612272,0.02000665577396846,0.0034468335985833438,0.017954331171364107,0.02230920733827138,0.01577097163577619,,,
severity,logistic_regression,isotonic,0.7607405829160979,0.5387954074910597,0.6303505901078614,0.9611716335251048,0.7552221809650133,0.6090967891080299,0.9244927536231884,0.04257171934348881,0.1429649340335663,0.016435914325174012,0.02439683361278079,0.026898202320374993,0.0208363570281601,0.006331486886540535,0.01872454234680086,0.02074275457139063,0.02203406725675486,0.0016683928077346926,0.005329959103055211,0.0038362135547335974
severity,logistic_regression,platt,0.79663687263934,0.4685281385281385,0.5895437431341846,0.960454453405449,0.7563814251041682,0.5813950547024634,0.9244927536231884,0.04476214519432524,0.1572456062698372,0.030945503014613053,0.036314683082063724,0.028690309188248483,0.028113480830439155,0.0066394008219403736,0.01852449428199389,0.028856119004489637,0.02005064922095603,0.0017852030204593946,0.00561426844310678,0.004439983732482107
severity,logistic_regression,uncalibrated,0.5204371869838644,0.8689535102578582,0.6508362676909383,0.9617743347947931,0.7575429219979621,0.629160635714247,0.9240617353660833,,,,0.02055256606054192,0.023636774749861658,0.020644267703615025,0.005512722163143762,0.01739581499559624,0.023085888024293125,0.022133409608856975,,,
severity,random_forest,isotonic,0.7795535552626742,0.6130208921513269,0.6858679501914341,0.973977613985951,0.8012197866175572,0.6626711945818342,0.9657180500658761,0.038284447185588606,0.12165630225447965,0.016267305774815617,0.030320068323536,0.024130375877119935,0.019371751473858844,0.004024748712249751,0.02102453011955711,0.021133767698429746,0.014116960341207681,0.0019931439768212616,0.005938456347079804,0.003396280998319585
severity,random_forest,platt,0.7812516654892121,0.6138866930171278,0.6868143420242101,0.9737644792002929,0.8006398515124914,0.663931317873305,0.9631093544137022,0.03856626765289774,0.13345599424754911,0.02403242446395165,0.02780776403301272,0.030568255042772174,0.019323611470453275,0.004108731423359217,0.021469089450835057,0.019619610373646134,0.017671676273152963,0.002331001812927553,0.007281553561409161,0.004005612428721045
severity,random_forest,uncalibrated,0.8064076644094704,0.5800414078674948,0.67425457729831,0.9743056369775539,0.8066578684772858,0.6563834821420133,0.968317334839074,,,,0.024240205545993408,0.02210149276443098,0.01343139378495664,0.0044186420740473615,0.020419171227656963,0.013406411432509823,0.01967777373062722,,,
severity,xgboost,isotonic,0.8416656347917364,0.5761264822134388,0.6836569573518956,0.976617770902757,0.8243929672896784,0.6709801634374817,0.968738942217203,0.03702459804786478,0.11899607525158143,0.022531114724753557,0.03112548078447997,0.02763151480062091,0.025098643001172757,0.003549839453594038,0.019898765780622437,0.026323670150214275,0.017745091665083482,0.0017901503951267253,0.0051033999123950334,0.0038363352088290753
severity,xgboost,platt,0.8442527899019965,0.579604743083004,0.6868372718005906,0.9756522993011065,0.8211218850218908,0.6743103488268268,0.9631112365894975,0.03849705945218454,0.14127106936883677,0.02877075736287457,0.03076556415879275,0.029358817612832388,0.024678761913314275,0.0036302873288359913,0.020355724460518292,0.02532115899020093,0.01539098790398167,0.0022494976023623068,0.0069859975021972975,0.0041619957182427655
severity,xgboost,uncalibrated,0.7849358681005651,0.6498720120459252,0.7107496846733501,0.9761159582412071,0.8201966141014945,0.6869060675277779,0.9683154526632787,,,,0.02958812203865073,0.02547733199561673,0.022941011796834544,0.003379286615777307,0.019926082361018563,0.02508525559133303,0.01641357586737601,,,
szz,lightgbm,isotonic,0.0,0.0,0.0,0.9296592118321648,0.24810753529725754,0.0,0.9093103448275862,0.011010575619530144,0.04805253243975532,0.004455877544468326,0.0,0.0,0.0,0.016693452973615505,0.08397582972608535,0.0,0.07221475209596412,0.0003261639358005827,0.0021297215092446536,0.002267770273684717
szz,lightgbm,platt,0.0,0.0,0.0,0.8126352731713535,0.24192074137879443,0.0,0.7879310344827586,0.011304444487850058,0.05691419976382951,0.004875175273323969,0.0,0.0,0.0,0.06712415857413286,0.07619699662874867,0.0,0.0704819446792604,0.0004456763681705975,0.003724926070743849,0.0024708204366966973
