model,project_id,n_train,n_test,n_pos_test,f1,roc_auc,pr_auc,ce_at_20,note
random_forest,org.apache:archiva,11605,844,113,0.8088888888888889,0.9811629117586529,0.8982066045055335,0.9292035398230089,
random_forest,org.apache:batik,11367,1082,176,0.79375,0.9827914910696367,0.9229465883845153,0.9318181818181818,
random_forest,org.apache:bcel,12053,396,73,0.8235294117647058,0.9821875397599558,0.9286022673128957,0.9041095890410958,
random_forest,org.apache:cayenne,11487,962,145,0.8045977011494253,0.9847971974844891,0.9249434709135467,0.9310344827586207,
random_forest,org.apache:cocoon,10329,2120,464,0.5914718019257221,0.9336972138930535,0.8042082681603513,0.6681034482758621,
random_forest,org.apache:codec,12404,45,9,0.782608695652174,0.962962962962963,0.8808080808080809,0.6666666666666666,
random_forest,org.apache:commons-cli,12386,63,12,0.7333333333333333,0.954248366013072,0.8563849277084571,0.75,
random_forest,org.apache:commons-fileupload,12424,25,6,0.8,0.9912280701754387,0.9761904761904762,0.8333333333333334,
random_forest,org.apache:commons-jelly,12290,159,14,0.4444444444444444,0.9729064039408867,0.8777832811446256,0.9285714285714286,
random_forest,org.apache:commons-jexl,12348,101,19,0.6451612903225806,0.9537869062901155,0.8415964023936158,0.7368421052631579,
random_forest,org.apache:configuration,12274,175,32,0.8064516129032258,0.9803321678321678,0.9198028665303988,0.84375,
random_forest,org.apache:daemon,12439,10,4,,,,,training_only
random_forest,org.apache:dbcp,12395,54,14,0.8,0.9464285714285714,0.7965566996029181,0.5714285714285714,
random_forest,org.apache:digester,12300,149,26,0.7619047619047619,0.99624765478424,0.9815833596602825,1.0,
random_forest,org.apache:felix,10365,2084,365,0.8170563961485557,0.9750635523998502,0.9173514237949194,0.8657534246575342,
random_forest,org.apache:hive,9653,2796,400,0.6694677871148459,0.9268186560934892,0.7684765199907206,0.8025,
random_forest,org.apache:httpclient,12096,353,43,0.8372093023255814,0.9773443360840209,0.8900727463578499,0.9302325581395349,
random_forest,org.apache:httpcore,12088,361,97,0.38016528925619836,0.9157294595438925,0.8122651684219458,0.6082474226804123,
random_forest,org.apache:net,12266,183,25,0.49504950495049505,0.9369620253164557,0.7173414714160171,0.8,
random_forest,org.apache:thrift,12394,55,10,0.46153846153846156,1.0,0.9999999999999999,1.0,
random_forest,org.apache:vfs,12187,262,44,0.7446808510638298,0.9604879065888241,0.8282326617513238,0.8409090909090909,
random_forest,org.apache:zookeeper,12279,170,35,0.75,0.9917460317460318,0.9694193151252584,0.8857142857142857,
xgboost,org.apache:archiva,11605,844,113,0.7903225806451613,0.9805333946708957,0.8899068430200598,0.9292035398230089,
