variant,model,fold,n_train,n_test,n_pos_test,precision,recall,f1,roc_auc,pr_auc,mcc,ce_at_20,resampler
consequence,xgboost,6,21520,2391,353,0.6220238095238095,0.5920679886685553,0.6066763425253991,0.9110866622000684,0.6915674398648024,0.5407375010352963,0.71671388101983,smote
consequence,xgboost,7,21520,2391,353,0.6222222222222222,0.6345609065155807,0.6283309957924264,0.9039231930432268,0.68242475229948,0.5632492976009045,0.7252124645892352,smote
consequence,xgboost,8,21520,2391,353,0.6279761904761905,0.5977337110481586,0.6124818577648766,0.8947810301161779,0.6566622987401012,0.5475224186313531,0.6855524079320113,smote
consequence,xgboost,9,21520,2391,353,0.6264705882352941,0.603399433427762,0.6147186147186147,0.9050678746868981,0.6917406439999285,0.5495806003267404,0.7223796033994334,smote
consequence,xgboost,10,21520,2391,353,0.6227544910179641,0.5892351274787535,0.6055312954876274,0.8921504168670613,0.673011964011707,0.5396935970784568,0.71671388101983,smote
consequence,lightgbm,1,21519,2392,354,0.6366366366366366,0.5988700564971752,0.6171761280931587,0.9120163226382352,0.6934973824442013,0.553405369982256,0.711864406779661,smote
consequence,lightgbm,2,21520,2391,354,0.6038781163434903,0.615819209039548,0.6097902097902098,0.902746228667948,0.6888333202902456,0.541232866425239,0.7429378531073446,smote
consequence,lightgbm,3,21520,2391,354,0.6476190476190476,0.576271186440678,0.6098654708520179,0.905699364025417,0.665554897808409,0.5479173196227023,0.7146892655367232,smote
consequence,lightgbm,4,21520,2391,353,0.5793871866295265,0.5892351274787535,0.5842696629213483,0.9050018487268805,0.6690301554600256,0.5115735338172691,0.7053824362606232,smote
consequence,lightgbm,5,21520,2391,353,0.6132075471698113,0.5524079320113314,0.5812220566318927,0.8962871170146813,0.6385931139561659,0.5140313028463492,0.6997167138810199,smote
consequence,lightgbm,6,21520,2391,353,0.6506024096385542,0.6118980169971672,0.6306569343065693,0.9112437344838993,0.7060213213664926,0.569336654092557,0.7252124645892352,smote
consequence,lightgbm,7,21520,2391,353,0.6366279069767442,0.6203966005665722,0.6284074605451937,0.904988643534877,0.6784739921064743,0.5650816982830116,0.7252124645892352,smote
consequence,lightgbm,8,21520,2391,353,0.63125,0.5722379603399433,0.600297176820208,0.8980281173288258,0.6635612743645493,0.535886806755039,0.6770538243626062,smote
consequence,lightgbm,9,21520,2391,353,0.6791277258566978,0.6175637393767706,0.6468842729970327,0.9103082508819679,0.7092175443347128,0.5900016018456516,0.7280453257790368,smote
consequence,lightgbm,10,21520,2391,353,0.629746835443038,0.5637393767705382,0.5949177877428998,0.8957693344861234,0.6781595518350141,0.5303598525028584,0.7053824362606232,smote
consequence,svm,1,21519,2392,354,0.3647887323943662,0.731638418079096,0.4868421052631579,0.8461477686665225,0.5032096507135888,0.3966648694015122,0.5819209039548022,smote
consequence,svm,2,21520,2391,354,0.3520208604954368,0.7627118644067796,0.4817127564674398,0.8318446313815875,0.4912426000507707,0.3946791109580382,0.596045197740113,smote
consequence,svm,3,21520,2391,354,0.3643835616438356,0.751412429378531,0.4907749077490775,0.8410119012949696,0.5198537727754245,0.40380574322371443,0.5819209039548022,smote
consequence,svm,4,21520,2391,353,0.3469945355191257,0.7195467422096318,0.4682027649769585,0.829974117823673,0.48747150338204454,0.3732976005045661,0.5835694050991501,smote
consequence,svm,5,21520,2391,353,0.36451169188445665,0.7507082152974505,0.49074074074074076,0.8398939970587171,0.4970463691296934,0.40410070608196813,0.5920679886685553,smote
consequence,svm,6,21520,2391,353,0.35968379446640314,0.773371104815864,0.4910071942446043,0.8496220535046579,0.5303263051512213,0.4076455570494037,0.6175637393767706,smote
consequence,svm,7,21520,2391,353,0.36786188579017265,0.7847025495750708,0.5009041591320073,0.8537629237129107,0.5323750445699933,0.42091763509002256,0.6317280453257791,smote
consequence,svm,8,21520,2391,353,0.3492063492063492,0.7478753541076487,0.47610459873760147,0.8310743188205957,0.5018130682341783,0.3863818404672911,0.5750708215297451,smote
consequence,svm,9,21520,2391,353,0.36187845303867405,0.7422096317280453,0.48653667595171773,0.8339759860108366,0.5102952477421889,0.3980110950583322,0.5892351274787535,smote
consequence,svm,10,21520,2391,353,0.3574468085106383,0.7138810198300283,0.4763705103969754,0.828953842988877,0.5212200983531701,0.3824562411009764,0.5807365439093485,smote
severity,logistic_regression,1,21519,2392,231,0.5403899721448467,0.8398268398268398,0.6576271186440678,0.9608045818133739,0.7688567332281815,0.6314097928283618,0.9437229437229437,smote
severity,logistic_regression,2,21520,2391,230,0.5245901639344263,0.8347826086956521,0.6442953020134228,0.9446130012272902,0.7031270594380657,0.6176775473631997,0.8956521739130435,smote
severity,logistic_regression,3,21520,2391,230,0.5487465181058496,0.8565217391304348,0.6689303904923599,0.9479890549866206,0.7293521928539332,0.6451230722134663,0.908695652173913,smote
