variant,model,metric,mean,ci_low,ci_high,n
severity,xgboost,ce_at_20,0.8703084932848578,0.8044838389132392,0.9265295786240575,22
szz,decision_tree,precision,0.02441620879120879,0.0,0.06253434065934066,16
szz,decision_tree,recall,0.04247311827956989,0.0,0.11202956989247312,16
szz,decision_tree,f1,0.02132711038961039,0.0,0.0476663961038961,16
szz,decision_tree,roc_auc,0.5001979098019526,0.462824916777973,0.539507246682473,16
szz,decision_tree,pr_auc,0.03952183312536701,0.023691080623711745,0.05640253559083969,16
szz,decision_tree,mcc,0.007092357478670301,-0.01806679521656907,0.0386662794988381,16
szz,decision_tree,ce_at_20,0.17719145168741943,0.10517962014433792,0.2513682426610854,16
szz,lightgbm,precision,0.12957516339869282,0.014705882352941176,0.2823529411764706,16
szz,lightgbm,recall,0.05531474014336918,0.006944444444444444,0.1259744623655914,16
szz,lightgbm,f1,0.038378580104731955,0.009166125892277742,0.0736847594326504,16
szz,lightgbm,roc_auc,0.7133726001926568,0.6501190770760937,0.7747739030377172,16
szz,lightgbm,pr_auc,0.1508337343565554,0.09061896921471876,0.21729592163139433,16
szz,lightgbm,mcc,0.05246426132411455,0.010072577256900282,0.10447149867111714,16
szz,lightgbm,ce_at_20,0.4885615648216455,0.3787420969162401,0.5998138957816377,16
szz,logistic_regression,precision,0.1262717372464996,0.035288932240078674,0.26373288970048964,16
szz,logistic_regression,recall,0.4116431451612903,0.21735467069892492,0.6100890456989246,16
szz,logistic_regression,f1,0.10725818522160183,0.05228161370999454,0.16878202414688617,16
szz,logistic_regression,roc_auc,0.7747974560101809,0.7136234147142713,0.8241717389601607,16
szz,logistic_regression,pr_auc,0.18393778681517486,0.11439425928888898,0.26286068802547335,16
szz,logistic_regression,mcc,0.09991000322601479,0.03850293573324098,0.16804053305413852,16
szz,logistic_regression,ce_at_20,0.5537960649855811,0.43186589563353683,0.6676104691074448,16
szz,random_forest,precision,0.0,0.0,0.0,16
szz,random_forest,recall,0.0,0.0,0.0,16
szz,random_forest,f1,0.0,0.0,0.0,16
szz,random_forest,roc_auc,0.7598149594242042,0.7128002090477255,0.8052121697086487,16
szz,random_forest,pr_auc,0.1681328820056964,0.09702335070063255,0.2442562431423024,16
szz,random_forest,mcc,0.0,0.0,0.0,16
szz,random_forest,ce_at_20,0.5416457089844187,0.43747900622396596,0.6346514137819581,16
szz,xgboost,precision,0.0625,0.0,0.1875,16
szz,xgboost,recall,0.006944444444444444,0.0,0.020833333333333332,16
szz,xgboost,f1,0.0125,0.0,0.037500000000000006,16
szz,xgboost,roc_auc,0.773223694877859,0.7209975279974521,0.8227835693942515,16
szz,xgboost,pr_auc,0.13731830414762197,0.07808599639797305,0.2153403134126386,16
szz,xgboost,mcc,0.01846806181203119,-0.0035905381716569832,0.05991824346395585,16
szz,xgboost,ce_at_20,0.5277357692680273,0.3864800664498245,0.6659895076528138,16
