project_id,model,t1,t2,n_train,n_test,n_pos_train,n_pos_test,precision,recall,f1,roc_auc,pr_auc,mcc,ce_at_20
org.apache:bcel,random_forest,2014-12-19 00:05:30+00:00,2016-06-25 21:47:44+00:00,445,483,89,8,0.1,0.125,0.1111111111111111,0.6321052631578947,0.0960245152443093,0.09505668780063305,0.5
org.apache:cayenne,random_forest,2011-05-15 11:23:02+00:00,2016-08-18 07:41:01+00:00,3406,4631,436,914,0.3333333333333333,0.00437636761487965,0.008639308855291577,0.7133767673396052,0.367284978821411,0.017412373194150038,0.37527352297593
org.apache:cocoon,random_forest,2004-07-12 13:36:43+00:00,2006-09-16 23:47:26+00:00,2331,3499,459,696,0.6964285714285714,0.05603448275862069,0.10372340425531915,0.6732436715998048,0.38419294404410953,0.15894947671130516,0.3620689655172414
org.apache:codec,random_forest,2011-08-06 02:19:20+00:00,2016-05-16 20:53:33+00:00,100,136,19,27,0.0,0.0,0.0,0.8163438668025823,0.6110468059516263,0.0,0.5185185185185185
org.apache:commons-jelly,random_forest,2003-01-16 09:17:17+00:00,2004-09-08 04:19:22+00:00,401,487,80,94,1.0,0.010638297872340425,0.021052631578947368,0.7870580910616642,0.46462749660605296,0.09275006310192509,0.425531914893617
org.apache:commons-jexl,random_forest,2009-08-02 21:58:04+00:00,2015-12-09 10:41:16+00:00,144,222,29,31,0.0,0.0,0.0,0.6820638405674717,0.29839125442519676,0.0,0.3548387096774194
org.apache:configuration,random_forest,2012-07-14 20:35:03+00:00,2014-08-24 17:23:38+00:00,256,515,51,103,0.9,0.08737864077669903,0.1592920353982301,0.9195140918088415,0.7172198689244819,0.24625914065560214,0.6796116504854369
org.apache:daemon,random_forest,2010-03-19 23:03:51+00:00,2017-07-08 02:35:18+00:00,12,18,3,4,0.0,0.0,0.0,0.3035714285714286,0.19624819624819625,-0.23904572186687875,0.0
org.apache:dbcp,random_forest,2011-07-19 20:49:18+00:00,2018-06-10 19:17:32+00:00,104,125,21,25,0.5333333333333333,0.32,0.4,0.7418,0.4239914882218972,0.30772872744833185,0.48
org.apache:digester,random_forest,2011-01-27 17:15:45+00:00,2011-05-30 13:12:04+00:00,233,346,47,69,0.5370370370370371,0.42028985507246375,0.4715447154471545,0.8156228744833359,0.5430242420776783,0.3633615329824619,0.4782608695652174
org.apache:felix,random_forest,2010-06-24 11:15:42+00:00,2014-05-06 15:23:03+00:00,3467,5078,694,302,0.325,0.08609271523178808,0.13612565445026178,0.7491766919586897,0.1754361044482638,0.14204105081731344,0.48013245033112584
