variant,model_a,model_b,metric,n_pairs,mean_a,mean_b,mean_diff,statistic,p_value,p_value_bonferroni,effect_size_r
consequence,svm,xgboost,pr_auc,10,0.5135064605656335,0.6951999557455427,-0.18169349517990918,0.0,0.001953125,0.029296875,0.9794424813518325
severity,decision_tree,lightgbm,pr_auc,10,0.4482416752362348,0.8196399113904855,-0.37139823615425066,0.0,0.001953125,0.029296875,0.9794424813518325
severity,decision_tree,logistic_regression,pr_auc,10,0.4482416752362348,0.7575429219979621,-0.30930124676172743,0.0,0.001953125,0.029296875,0.9794424813518325
severity,decision_tree,random_forest,pr_auc,10,0.4482416752362348,0.8066578684772857,-0.35841619324105095,0.0,0.001953125,0.029296875,0.9794424813518325
severity,decision_tree,svm,pr_auc,10,0.4482416752362348,0.7216789346729751,-0.27343725943674035,0.0,0.001953125,0.029296875,0.9794424813518325
severity,decision_tree,xgboost,pr_auc,10,0.4482416752362348,0.8201966141014946,-0.3719549388652596,0.0,0.001953125,0.029296875,0.9794424813518325
severity,lightgbm,logistic_regression,pr_auc,10,0.8196399113904855,0.7575429219979621,0.06209698939252326,0.0,0.001953125,0.029296875,0.9794424813518325
severity,lightgbm,random_forest,pr_auc,10,0.8196399113904855,0.8066578684772857,0.012982042913199677,0.0,0.001953125,0.029296875,0.9794424813518325
severity,lightgbm,svm,pr_auc,10,0.8196399113904855,0.7216789346729751,0.09796097671751028,0.0,0.001953125,0.029296875,0.9794424813518325
severity,lightgbm,xgboost,pr_auc,10,0.8196399113904855,0.8201966141014946,-0.0005567027110089829,24.0,0.76953125,1.0,0.0926509713383716
severity,logistic_regression,random_forest,pr_auc,10,0.7575429219979621,0.8066578684772857,-0.04911494647932359,0.0,0.001953125,0.029296875,0.9794424813518325
severity,logistic_regression,svm,pr_auc,10,0.7575429219979621,0.7216789346729751,0.03586398732498702,0.0,0.001953125,0.029296875,0.9794424813518325
severity,logistic_regression,xgboost,pr_auc,10,0.7575429219979621,0.8201966141014946,-0.06265369210353225,0.0,0.001953125,0.029296875,0.9794424813518325
severity,random_forest,svm,pr_auc,10,0.8066578684772857,0.7216789346729751,0.08497893380431061,0.0,0.001953125,0.029296875,0.9794424813518325
severity,random_forest,xgboost,pr_auc,10,0.8066578684772857,0.8201966141014946,-0.013538745624208658,0.0,0.001953125,0.029296875,0.9794424813518325
severity,svm,xgboost,pr_auc,10,0.7216789346729751,0.8201966141014946,-0.09851767942851927,0.0,0.001953125,0.029296875,0.9794424813518325
szz,decision_tree,lightgbm,pr_auc,10,0.06754776905065676,0.26397147612252275,-0.196423707071866,0.0,0.001953125,0.029296875,0.9794424813518325
szz,decision_tree,logistic_regression,pr_auc,10,0.06754776905065676,0.21338788818826432,-0.14584011913760758,0.0,0.001953125,0.029296875,0.9794424813518325
szz,decision_tree,random_forest,pr_auc,10,0.06754776905065676,0.2801246961894123,-0.2125769271387556,0.0,0.001953125,0.029296875,0.9794424813518325
szz,decision_tree,svm,pr_auc,10,0.06754776905065676,0.18438514671761638,-0.11683737766695963,0.0,0.001953125,0.029296875,0.9794424813518325
szz,decision_tree,xgboost,pr_auc,10,0.06754776905065676,0.27587381267626765,-0.2083260436256109,0.0,0.001953125,0.029296875,0.9794424813518325
szz,lightgbm,logistic_regression,pr_auc,10,0.26397147612252275,0.21338788818826432,0.05058358793425842,7.0,0.037109375,0.556640625,0.6591953466530559
szz,lightgbm,random_forest,pr_auc,10,0.26397147612252275,0.2801246961894123,-0.0161532200668896,17.0,0.322265625,1.0,0.3130062919728432
szz,lightgbm,svm,pr_auc,10,0.26397147612252275,0.18438514671761638,0.07958632940490637,6.0,0.02734375,0.41015625,0.6977803512736567
szz,lightgbm,xgboost,pr_auc,10,0.26397147612252275,0.27587381267626765,-0.011902336553744888,20.0,0.4921875,1.0,0.21719590193675758
szz,logistic_regression,random_forest,pr_auc,10,0.21338788818826432,0.2801246961894123,-0.066736808001148,2.0,0.005859375,0.087890625,0.8713810644023898
szz,logistic_regression,svm,pr_auc,10,0.21338788818826432,0.18438514671761638,0.029002741470647964,10.0,0.083984375,1.0,0.5464483694727179
szz,logistic_regression,xgboost,pr_auc,10,0.21338788818826432,0.27587381267626765,-0.062485924488003296,3.0,0.009765625,0.146484375,0.8171387393167395
szz,random_forest,svm,pr_auc,10,0.2801246961894123,0.18438514671761638,0.09573954947179598,1.0,0.00390625,0.05859375,0.9125178818969072
szz,random_forest,xgboost,pr_auc,10,0.2801246961894123,0.27587381267626765,0.004250883513144713,20.0,0.4921875,1.0,0.21719590193675758
szz,svm,xgboost,pr_auc,10,0.18438514671761638,0.27587381267626765,-0.09148866595865127,4.0,0.013671875,0.205078125,0.7797452218554403
