variant,model,metric,mean,ci_low,ci_high,n
consequence,random_forest,recall,0.4288079576191162,0.41193634864998957,0.4424361405867383,10
consequence,random_forest,f1,0.5538889605839774,0.5372865136797246,0.5676552305037982,10
consequence,random_forest,roc_auc,0.9151826626157478,0.9118510966008372,0.9185646893948205,10
consequence,random_forest,pr_auc,0.703209404150625,0.6922364991696839,0.7140075703520811,10
consequence,random_forest,mcc,0.5312347920408717,0.515435240800229,0.5452116990875622,10
consequence,random_forest,ce_at_20,0.745528240585138,0.7334277620396602,0.7568597653686719,10
consequence,svm,precision,0.6325239252339188,0.6131268165536635,0.6510365077215648,10
consequence,svm,recall,0.3093740497111122,0.29520974376210374,0.32354475760631235,10
consequence,svm,f1,0.41522948290769185,0.39893577311951894,0.4311043288344663,10
consequence,svm,roc_auc,0.8407441884552845,0.8346183880687936,0.846882395791978,10
consequence,svm,pr_auc,0.5135064605656335,0.5020943972735117,0.5248096260533819,10
consequence,svm,mcc,0.3811577507051133,0.36403053138474306,0.39757925063291144,10
consequence,svm,ce_at_20,0.6023223059810181,0.5883841887933932,0.6173244666378579,10
consequence,xgboost,precision,0.742298602872523,0.7264171047952349,0.7590995463364254,10
consequence,xgboost,recall,0.46730366031273507,0.45488378467053986,0.4804717234039148,10
consequence,xgboost,f1,0.5731021628765142,0.5621696415220518,0.5841743250648087,10
consequence,xgboost,roc_auc,0.9110681592747463,0.907459601198901,0.913946525840084,10
consequence,xgboost,pr_auc,0.6951999557455427,0.6846842514314839,0.7054055560295197,10
consequence,xgboost,mcc,0.5362949806636094,0.5246522270237901,0.5480665881035277,10
consequence,xgboost,ce_at_20,0.7356276307997631,0.725359709351643,0.744057393447608,10
severity,decision_tree,precision,0.6562052777026781,0.6334041818803234,0.6779982576434531,10
severity,decision_tree,recall,0.6273291925465838,0.6097743741765481,0.6458652362130622,10
severity,decision_tree,f1,0.6411080407473531,0.6228626870581662,0.6590808571896155,10
severity,decision_tree,roc_auc,0.7960538686437652,0.7866289139160495,0.8056486038205105,10
severity,decision_tree,pr_auc,0.4482416752362348,0.4266695545985038,0.47073674029868817,10
severity,decision_tree,mcc,0.6041181659879051,0.5838958834473814,0.6240253425211231,10
severity,decision_tree,ce_at_20,0.6741671372106154,0.6533195934500283,0.6930911443628835,10
severity,lightgbm,precision,0.6198217057381613,0.6059323933889412,0.6319554706983664,10
severity,lightgbm,recall,0.8485827216261999,0.835049642386599,0.8620967908902691,10
severity,lightgbm,f1,0.7162056266550492,0.7031626923074059,0.7264840192591451,10
severity,lightgbm,roc_auc,0.9755555391965585,0.9733221489674038,0.9773331475734341,10
severity,lightgbm,pr_auc,0.8196399113904855,0.8076072208044683,0.8282706937942699,10
severity,lightgbm,mcc,0.6914243183009507,0.6773338274876638,0.7027740321886257,10
severity,lightgbm,ce_at_20,0.9626858648597778,0.9535757575757574,0.9718106531150008,10
severity,logistic_regression,precision,0.5204371869838644,0.5078887671504305,0.5319913868210957,10
severity,logistic_regression,recall,0.8689535102578582,0.855019715791455,0.8825145868624128,10
severity,logistic_regression,f1,0.6508362676909382,0.6382108976715719,0.6625849113423035,10
severity,logistic_regression,roc_auc,0.9617743347947931,0.9584764804407235,0.9649429878002552,10
severity,logistic_regression,pr_auc,0.7575429219979621,0.7466701710824116,0.7672867474155333,10
severity,logistic_regression,mcc,0.6291606357142469,0.615043535745425,0.6419252484991564,10
severity,logistic_regression,ce_at_20,0.924061735366083,0.9105684170901561,0.9362544701675137,10
severity,random_forest,precision,0.8064076644094704,0.7918472633034489,0.8208059039648612,10
severity,random_forest,recall,0.5800414078674948,0.5677165913796349,0.5937544701675136,10
severity,random_forest,f1,0.6742545772983101,0.6661945902826306,0.6820662691612709,10
severity,random_forest,roc_auc,0.9743056369775541,0.9713592398232527,0.9764884941557865,10
severity,random_forest,pr_auc,0.8066578684772857,0.79301044394727,0.8169288768084431,10
severity,random_forest,mcc,0.6563834821420133,0.6480536413641875,0.6638373980011385,10
severity,random_forest,ce_at_20,0.9683173348390739,0.9552512704686617,0.9778920101637493,10
severity,svm,precision,0.7247830638752789,0.7113794833406465,0.7386910220536438,10
severity,svm,recall,0.5153867871259175,0.4960434312064747,0.5324997647280256,10
severity,svm,f1,0.6020596438084858,0.585968004403233,0.6176829473389955,10
severity,svm,roc_auc,0.9594545267560143,0.9571334075567279,0.9616928873961551,10
severity,svm,pr_auc,0.7216789346729751,0.710086537810036,0.733197267662824,10
severity,svm,mcc,0.5774492784456954,0.5612546660922347,0.5928974630033468,10
severity,svm,ce_at_20,0.9175588179936007,0.9054150197628458,0.9293281573498965,10
severity,xgboost,precision,0.784935868100565,0.7657278216995396,0.7998865086541171,10
severity,xgboost,recall,0.6498720120459252,0.6358159232072277,0.6654734142668924,10
severity,xgboost,f1,0.7107496846733502,0.6974175535610789,0.724554780107219,10
severity,xgboost,roc_auc,0.9761159582412071,0.9739605763289453,0.9778895410327251,10
severity,xgboost,pr_auc,0.8201966141014946,0.8074151187986672,0.830181431138549,10
severity,xgboost,mcc,0.6869060675277779,0.6721422879570026,0.701052423505469,10
severity,xgboost,ce_at_20,0.9683154526632787,0.9578900338791643,0.9774440052700921,10
szz,decision_tree,precision,0.24265513736270328,0.212250626307013,0.2720861805103992,10
szz,decision_tree,recall,0.23183908045977014,0.20034195402298852,0.26334770114942513,10
szz,decision_tree,f1,0.23521338837082725,0.20667440832306544,0.26463611366756923,10
szz,decision_tree,roc_auc,0.6112866904457303,0.5959645778897151,0.6272340732031997,10
szz,decision_tree,pr_auc,0.06754776905065676,0.05473904020035149,0.08118387326610235,10
szz,decision_tree,mcc,0.22682251828420638,0.19834392851324614,0.25584650743081755,10
szz,decision_tree,ce_at_20,0.35977011494252875,0.3260919540229885,0.4,10
szz,lightgbm,precision,0.3522869269894442,0.2907531678477045,0.41749996576226545,10
szz,lightgbm,recall,0.30586206896551726,0.2470057471264368,0.3613793103448276,10
szz,lightgbm,f1,0.3237680386150944,0.2687113866783005,0.3764691596865973,10
