variant,model,project_id,n,tp,fp,fn,tn,error_rate
severity,lightgbm,org.apache:archiva,1585,81,51,7,1446,0.0366
severity,lightgbm,org.apache:batik,1712,192,129,33,1358,0.0946
severity,lightgbm,org.apache:bcel,471,51,25,9,386,0.0722
severity,lightgbm,org.apache:cayenne,3570,149,126,40,3255,0.0465
severity,lightgbm,org.apache:cocoon,2702,86,72,31,2513,0.0381
severity,lightgbm,org.apache:codec,117,0,5,2,110,0.0598
severity,lightgbm,org.apache:commons-cli,159,8,10,3,138,0.0818
severity,lightgbm,org.apache:commons-fileupload,50,4,0,0,46,0.0
severity,lightgbm,org.apache:commons-jelly,419,8,5,5,401,0.0239
severity,lightgbm,org.apache:commons-jexl,158,12,5,4,137,0.057
severity,lightgbm,org.apache:configuration,408,18,10,7,373,0.0417
severity,lightgbm,org.apache:daemon,12,6,1,0,5,0.0833
severity,lightgbm,org.apache:dbcp,113,19,2,3,89,0.0442
severity,lightgbm,org.apache:digester,333,14,6,7,306,0.039
severity,lightgbm,org.apache:felix,3737,531,274,43,2889,0.0848
severity,lightgbm,org.apache:hive,5307,578,305,91,4333,0.0746
severity,lightgbm,org.apache:httpclient,697,42,40,17,598,0.0818
severity,lightgbm,org.apache:httpcore,782,30,30,11,711,0.0524
severity,lightgbm,org.apache:net,250,34,20,8,188,0.112
severity,lightgbm,org.apache:thrift,179,18,15,7,139,0.1229
severity,lightgbm,org.apache:vfs,405,29,29,9,338,0.0938
severity,lightgbm,org.apache:zookeeper,745,46,42,12,645,0.0725
severity,logistic_regression,org.apache:archiva,1585,63,63,25,1434,0.0555
severity,logistic_regression,org.apache:batik,1712,197,183,28,1304,0.1232
severity,logistic_regression,org.apache:bcel,471,54,44,6,367,0.1062
severity,logistic_regression,org.apache:cayenne,3570,149,199,40,3182,0.0669
severity,logistic_regression,org.apache:cocoon,2702,97,110,20,2475,0.0481
severity,logistic_regression,org.apache:codec,117,0,11,2,104,0.1111
severity,logistic_regression,org.apache:commons-cli,159,8,13,3,135,0.1006
severity,logistic_regression,org.apache:commons-fileupload,50,4,0,0,46,0.0
severity,logistic_regression,org.apache:commons-jelly,419,9,4,4,402,0.0191
severity,logistic_regression,org.apache:commons-jexl,158,10,10,6,132,0.1013
severity,logistic_regression,org.apache:configuration,408,20,9,5,374,0.0343
severity,logistic_regression,org.apache:daemon,12,6,1,0,5,0.0833
severity,logistic_regression,org.apache:dbcp,113,20,7,2,84,0.0796
severity,logistic_regression,org.apache:digester,333,15,28,6,284,0.1021
severity,logistic_regression,org.apache:felix,3737,525,415,49,2748,0.1242
severity,logistic_regression,org.apache:hive,5307,603,479,66,4159,0.1027
severity,logistic_regression,org.apache:httpclient,697,47,67,12,571,0.1133
severity,logistic_regression,org.apache:httpcore,782,33,54,8,687,0.0793
severity,logistic_regression,org.apache:net,250,40,38,2,170,0.16
severity,logistic_regression,org.apache:thrift,179,23,20,2,134,0.1229
severity,logistic_regression,org.apache:vfs,405,31,44,7,323,0.1259
severity,logistic_regression,org.apache:zookeeper,745,49,50,9,637,0.0792
severity,random_forest,org.apache:archiva,1585,38,6,50,1491,0.0353
severity,random_forest,org.apache:batik,1712,138,42,87,1445,0.0754
severity,random_forest,org.apache:bcel,471,35,11,25,400,0.0764
severity,random_forest,org.apache:cayenne,3570,89,17,100,3364,0.0328
severity,random_forest,org.apache:cocoon,2702,52,20,65,2565,0.0315
severity,random_forest,org.apache:codec,117,0,0,2,115,0.0171
severity,random_forest,org.apache:commons-cli,159,2,1,9,147,0.0629
severity,random_forest,org.apache:commons-fileupload,50,2,0,2,46,0.04
severity,random_forest,org.apache:commons-jelly,419,2,0,11,406,0.0263
severity,random_forest,org.apache:commons-jexl,158,9,1,7,141,0.0506
severity,random_forest,org.apache:configuration,408,7,2,18,381,0.049
severity,random_forest,org.apache:daemon,12,3,0,3,6,0.25
severity,random_forest,org.apache:dbcp,113,12,0,10,91,0.0885
severity,random_forest,org.apache:digester,333,9,2,12,310,0.042
severity,random_forest,org.apache:felix,3737,400,104,174,3059,0.0744
severity,random_forest,org.apache:hive,5307,428,91,241,4547,0.0626
severity,random_forest,org.apache:httpclient,697,16,2,43,636,0.0646
severity,random_forest,org.apache:httpcore,782,16,3,25,738,0.0358
severity,random_forest,org.apache:net,250,27,4,15,204,0.076
severity,random_forest,org.apache:thrift,179,12,3,13,151,0.0894
severity,random_forest,org.apache:vfs,405,13,3,25,364,0.0691
severity,random_forest,org.apache:zookeeper,745,27,11,31,676,0.0564
severity,svm,org.apache:archiva,1585,37,7,51,1490,0.0366
severity,svm,org.apache:batik,1712,123,65,102,1422,0.0975
severity,svm,org.apache:bcel,471,23,9,37,402,0.0977
severity,svm,org.apache:cayenne,3570,80,48,109,3333,0.044
severity,svm,org.apache:cocoon,2702,67,45,50,2540,0.0352
severity,svm,org.apache:codec,117,0,0,2,115,0.0171
severity,svm,org.apache:commons-cli,159,5,2,6,146,0.0503
severity,svm,org.apache:commons-fileupload,50,0,0,4,46,0.08
severity,svm,org.apache:commons-jelly,419,2,1,11,405,0.0286
severity,svm,org.apache:commons-jexl,158,5,2,11,140,0.0823
severity,svm,org.apache:configuration,408,5,1,20,382,0.0515
severity,svm,org.apache:daemon,12,0,0,6,6,0.5
severity,svm,org.apache:dbcp,113,8,0,14,91,0.1239
severity,svm,org.apache:digester,333,12,5,9,307,0.042
severity,svm,org.apache:felix,3737,319,77,255,3086,0.0888
severity,svm,org.apache:hive,5307,397,138,272,4500,0.0773
severity,svm,org.apache:httpclient,697,23,3,36,635,0.056
severity,svm,org.apache:httpcore,782,10,7,31,734,0.0486
severity,svm,org.apache:net,250,21,9,21,199,0.12
severity,svm,org.apache:thrift,179,13,3,12,151,0.0838
severity,svm,org.apache:vfs,405,10,8,28,359,0.0889
severity,svm,org.apache:zookeeper,745,28,21,30,666,0.0685
severity,xgboost,org.apache:archiva,1585,54,15,34,1482,0.0309
severity,xgboost,org.apache:batik,1712,147,42,78,1445,0.0701
severity,xgboost,org.apache:bcel,471,42,11,18,400,0.0616
severity,xgboost,org.apache:cayenne,3570,98,23,91,3358,0.0319
severity,xgboost,org.apache:cocoon,2702,63,28,54,2557,0.0303
severity,xgboost,org.apache:codec,117,0,2,2,113,0.0342
severity,xgboost,org.apache:commons-cli,159,4,2,7,146,0.0566
severity,xgboost,org.apache:commons-fileupload,50,3,0,1,46,0.02
severity,xgboost,org.apache:commons-jelly,419,7,1,6,405,0.0167
severity,xgboost,org.apache:commons-jexl,158,9,2,7,140,0.057
severity,xgboost,org.apache:configuration,408,14,6,11,377,0.0417
severity,xgboost,org.apache:daemon,12,5,0,1,6,0.0833
severity,xgboost,org.apache:dbcp,113,16,2,6,89,0.0708
severity,xgboost,org.apache:digester,333,11,2,10,310,0.036
severity,xgboost,org.apache:felix,3737,431,115,143,3048,0.069
severity,xgboost,org.apache:hive,5307,468,109,201,4529,0.0584
severity,xgboost,org.apache:httpclient,697,24,7,35,631,0.0603
severity,xgboost,org.apache:httpcore,782,13,8,28,733,0.046
severity,xgboost,org.apache:net,250,28,8,14,200,0.088
severity,xgboost,org.apache:thrift,179,14,4,11,150,0.0838
severity,xgboost,org.apache:vfs,405,18,13,20,354,0.0815
severity,xgboost,org.apache:zookeeper,745,29,12,29,675,0.055
szz,decision_tree,org.apache:archiva,1585,1,13,14,1557,0.017
szz,decision_tree,org.apache:batik,1712,0,2,0,1710,0.0012
szz,decision_tree,org.apache:bcel,471,7,10,11,443,0.0446
szz,decision_tree,org.apache:cayenne,3570,0,3,5,3562,0.0022
szz,decision_tree,org.apache:cocoon,2702,0,0,0,2702,0.0
szz,decision_tree,org.apache:codec,117,0,1,3,113,0.0342
szz,decision_tree,org.apache:commons-cli,159,0,0,0,159,0.0
szz,decision_tree,org.apache:commons-fileupload,50,2,2,4,42,0.12
szz,decision_tree,org.apache:commons-jelly,419,0,5,3,411,0.0191
szz,decision_tree,org.apache:commons-jexl,158,1,2,9,146,0.0696
szz,decision_tree,org.apache:configuration,408,1,2,3,402,0.0123
szz,decision_tree,org.apache:daemon,12,0,0,0,12,0.0
szz,decision_tree,org.apache:dbcp,113,2,7,7,97,0.1239
szz,decision_tree,org.apache:digester,333,0,0,0,333,0.0
szz,decision_tree,org.apache:felix,3737,34,75,77,3551,0.0407
szz,decision_tree,org.apache:hive,5307,0,3,0,5304,0.0006
szz,decision_tree,org.apache:httpclient,697,1,22,23,651,0.0646
szz,decision_tree,org.apache:httpcore,782,0,14,13,755,0.0345
szz,decision_tree,org.apache:net,250,3,18,7,222,0.1
szz,decision_tree,org.apache:thrift,179,0,2,3,174,0.0279
szz,decision_tree,org.apache:vfs,405,0,4,1,400,0.0123
szz,decision_tree,org.apache:zookeeper,745,17,34,45,649,0.106
szz,lightgbm,org.apache:archiva,1585,2,3,13,1567,0.0101
szz,lightgbm,org.apache:batik,1712,0,0,0,1712,0.0
szz,lightgbm,org.apache:bcel,471,6,5,12,448,0.0361
szz,lightgbm,org.apache:cayenne,3570,0,0,5,3565,0.0014
szz,lightgbm,org.apache:cocoon,2702,0,0,0,2702,0.0
szz,lightgbm,org.apache:codec,117,0,1,3,113,0.0342
szz,lightgbm,org.apache:commons-cli,159,0,0,0,159,0.0
szz,lightgbm,org.apache:commons-fileupload,50,3,3,3,41,0.12
szz,lightgbm,org.apache:commons-jelly,419,0,0,3,416,0.0072
szz,lightgbm,org.apache:commons-jexl,158,2,5,8,143,0.0823
szz,lightgbm,org.apache:configuration,408,1,1,3,403,0.0098
szz,lightgbm,org.apache:daemon,12,0,0,0,12,0.0
szz,lightgbm,org.apache:dbcp,113,4,4,5,100,0.0796
szz,lightgbm,org.apache:digester,333,0,1,0,332,0.003
szz,lightgbm,org.apache:felix,3737,38,73,73,3553,0.0391
szz,lightgbm,org.apache:hive,5307,0,0,0,5307,0.0
szz,lightgbm,org.apache:httpclient,697,3,6,21,667,0.0387
szz,lightgbm,org.apache:httpcore,782,0,4,13,765,0.0217
szz,lightgbm,org.apache:net,250,3,8,7,232,0.06
szz,lightgbm,org.apache:thrift,179,0,0,3,176,0.0168
szz,lightgbm,org.apache:vfs,405,0,0,1,404,0.0025
szz,lightgbm,org.apache:zookeeper,745,29,56,33,627,0.1195
szz,logistic_regression,org.apache:archiva,1585,9,246,6,1324,0.159
szz,logistic_regression,org.apache:batik,1712,0,2,0,1710,0.0012
szz,logistic_regression,org.apache:bcel,471,15,280,3,173,0.6008
szz,logistic_regression,org.apache:cayenne,3570,0,68,5,3497,0.0204
szz,logistic_regression,org.apache:cocoon,2702,0,3,0,2699,0.0011
szz,logistic_regression,org.apache:codec,117,2,35,1,79,0.3077
szz,logistic_regression,org.apache:commons-cli,159,0,20,0,139,0.1258
szz,logistic_regression,org.apache:commons-fileupload,50,5,30,1,14,0.62
szz,logistic_regression,org.apache:commons-jelly,419,0,35,3,381,0.0907
szz,logistic_regression,org.apache:commons-jexl,158,10,130,0,18,0.8228
szz,logistic_regression,org.apache:configuration,408,2,40,2,364,0.1029
szz,logistic_regression,org.apache:daemon,12,0,1,0,11,0.0833
szz,logistic_regression,org.apache:dbcp,113,9,39,0,65,0.3451
szz,logistic_regression,org.apache:digester,333,0,18,0,315,0.0541
szz,logistic_regression,org.apache:felix,3737,95,1571,16,2055,0.4247
szz,logistic_regression,org.apache:hive,5307,0,6,0,5301,0.0011
szz,logistic_regression,org.apache:httpclient,697,20,322,4,351,0.4677
szz,logistic_regression,org.apache:httpcore,782,10,375,3,394,0.4834
szz,logistic_regression,org.apache:net,250,8,159,2,81,0.644
szz,logistic_regression,org.apache:thrift,179,2,29,1,147,0.1676
szz,logistic_regression,org.apache:vfs,405,0,25,1,379,0.0642
szz,logistic_regression,org.apache:zookeeper,745,58,555,4,128,0.7503
szz,random_forest,org.apache:archiva,1585,0,0,15,1570,0.0095
szz,random_forest,org.apache:batik,1712,0,0,0,1712,0.0
szz,random_forest,org.apache:bcel,471,1,0,17,453,0.0361
szz,random_forest,org.apache:cayenne,3570,0,0,5,3565,0.0014
szz,random_forest,org.apache:cocoon,2702,0,0,0,2702,0.0
szz,random_forest,org.apache:codec,117,0,0,3,114,0.0256
szz,random_forest,org.apache:commons-cli,159,0,0,0,159,0.0
szz,random_forest,org.apache:commons-fileupload,50,2,0,4,44,0.08
szz,random_forest,org.apache:commons-jelly,419,0,0,3,416,0.0072
szz,random_forest,org.apache:commons-jexl,158,0,0,10,148,0.0633
szz,random_forest,org.apache:configuration,408,0,0,4,404,0.0098
szz,random_forest,org.apache:daemon,12,0,0,0,12,0.0
szz,random_forest,org.apache:dbcp,113,0,0,9,104,0.0796
szz,random_forest,org.apache:digester,333,0,0,0,333,0.0
szz,random_forest,org.apache:felix,3737,8,6,103,3620,0.0292
szz,random_forest,org.apache:hive,5307,0,0,0,5307,0.0
szz,random_forest,org.apache:httpclient,697,0,0,24,673,0.0344
szz,random_forest,org.apache:httpcore,782,0,1,13,768,0.0179
szz,random_forest,org.apache:net,250,0,1,10,239,0.044
szz,random_forest,org.apache:thrift,179,0,0,3,176,0.0168
szz,random_forest,org.apache:vfs,405,0,0,1,404,0.0025
szz,random_forest,org.apache:zookeeper,745,6,9,56,674,0.0872
szz,svm,org.apache:archiva,1585,0,0,15,1570,0.0095
szz,svm,org.apache:batik,1712,0,0,0,1712,0.0
szz,svm,org.apache:bcel,471,0,1,18,452,0.0403
szz,svm,org.apache:cayenne,3570,0,0,5,3565,0.0014
szz,svm,org.apache:cocoon,2702,0,0,0,2702,0.0
szz,svm,org.apache:codec,117,0,0,3,114,0.0256
szz,svm,org.apache:commons-cli,159,0,0,0,159,0.0
szz,svm,org.apache:commons-fileupload,50,0,0,6,44,0.12
szz,svm,org.apache:commons-jelly,419,0,0,3,416,0.0072
szz,svm,org.apache:commons-jexl,158,0,0,10,148,0.0633
szz,svm,org.apache:configuration,408,0,1,4,403,0.0123
szz,svm,org.apache:daemon,12,0,0,0,12,0.0
szz,svm,org.apache:dbcp,113,0,0,9,104,0.0796
szz,svm,org.apache:digester,333,0,0,0,333,0.0
szz,svm,org.apache:felix,3737,1,0,110,3626,0.0294
szz,svm,org.apache:hive,5307,0,0,0,5307,0.0
szz,svm,org.apache:httpclient,697,2,1,22,672,0.033
szz,svm,org.apache:httpcore,782,0,1,13,768,0.0179
szz,svm,org.apache:net,250,0,1,10,239,0.044
szz,svm,org.apache:thrift,179,0,0,3,176,0.0168
szz,svm,org.apache:vfs,405,0,0,1,404,0.0025
szz,svm,org.apache:zookeeper,745,5,5,57,678,0.0832
szz,xgboost,org.apache:archiva,1585,0,0,15,1570,0.0095
szz,xgboost,org.apache:batik,1712,0,0,0,1712,0.0
szz,xgboost,org.apache:bcel,471,2,2,16,451,0.0382
szz,xgboost,org.apache:cayenne,3570,0,0,5,3565,0.0014
szz,xgboost,org.apache:cocoon,2702,0,0,0,2702,0.0
szz,xgboost,org.apache:codec,117,0,0,3,114,0.0256
szz,xgboost,org.apache:commons-cli,159,0,0,0,159,0.0
szz,xgboost,org.apache:commons-fileupload,50,3,1,3,43,0.08
szz,xgboost,org.apache:commons-jelly,419,0,0,3,416,0.0072
szz,xgboost,org.apache:commons-jexl,158,0,1,10,147,0.0696
szz,xgboost,org.apache:configuration,408,0,0,4,404,0.0098
szz,xgboost,org.apache:daemon,12,0,0,0,12,0.0
szz,xgboost,org.apache:dbcp,113,2,0,7,104,0.0619
szz,xgboost,org.apache:digester,333,0,0,0,333,0.0
szz,xgboost,org.apache:felix,3737,19,13,92,3613,0.0281
szz,xgboost,org.apache:hive,5307,0,0,0,5307,0.0
szz,xgboost,org.apache:httpclient,697,1,0,23,673,0.033
szz,xgboost,org.apache:httpcore,782,0,1,13,768,0.0179
szz,xgboost,org.apache:net,250,0,1,10,239,0.044
szz,xgboost,org.apache:thrift,179,0,0,3,176,0.0168
szz,xgboost,org.apache:vfs,405,0,0,1,404,0.0025
szz,xgboost,org.apache:zookeeper,745,9,18,53,665,0.0953
